sale_date	year	quarter	month_name	month_number	week	day
01 January 2022	2022	1	January	1	1	Saturday
02 January 2022	2022	1	January	1	1	Sunday
03 January 2022	2022	1	January	1	2	Monday
04 January 2022	2022	1	January	1	2	Tuesday
05 January 2022	2022	1	January	1	2	Wednesday
06 January 2022	2022	1	January	1	2	Thursday
07 January 2022	2022	1	January	1	2	Friday
08 January 2022	2022	1	January	1	2	Saturday
09 January 2022	2022	1	January	1	2	Sunday
10 January 2022	2022	1	January	1	3	Monday
11 January 2022	2022	1	January	1	3	Tuesday
12 January 2022	2022	1	January	1	3	Wednesday
13 January 2022	2022	1	January	1	3	Thursday
14 January 2022	2022	1	January	1	3	Friday
15 January 2022	2022	1	January	1	3	Saturday
16 January 2022	2022	1	January	1	3	Sunday
17 January 2022	2022	1	January	1	4	Monday
18 January 2022	2022	1	January	1	4	Tuesday
19 January 2022	2022	1	January	1	4	Wednesday
20 January 2022	2022	1	January	1	4	Thursday
21 January 2022	2022	1	January	1	4	Friday
22 January 2022	2022	1	January	1	4	Saturday
23 January 2022	2022	1	January	1	4	Sunday
24 January 2022	2022	1	January	1	5	Monday
25 January 2022	2022	1	January	1	5	Tuesday
26 January 2022	2022	1	January	1	5	Wednesday
27 January 2022	2022	1	January	1	5	Thursday
28 January 2022	2022	1	January	1	5	Friday
29 January 2022	2022	1	January	1	5	Saturday
30 January 2022	2022	1	January	1	5	Sunday
31 January 2022	2022	1	January	1	6	Monday
01 February 2022	2022	1	February	2	6	Tuesday
02 February 2022	2022	1	February	2	6	Wednesday
03 February 2022	2022	1	February	2	6	Thursday
04 February 2022	2022	1	February	2	6	Friday
05 February 2022	2022	1	February	2	6	Saturday
06 February 2022	2022	1	February	2	6	Sunday
07 February 2022	2022	1	February	2	7	Monday
08 February 2022	2022	1	February	2	7	Tuesday
09 February 2022	2022	1	February	2	7	Wednesday
10 February 2022	2022	1	February	2	7	Thursday
11 February 2022	2022	1	February	2	7	Friday
12 February 2022	2022	1	February	2	7	Saturday
13 February 2022	2022	1	February	2	7	Sunday
14 February 2022	2022	1	February	2	8	Monday
15 February 2022	2022	1	February	2	8	Tuesday
16 February 2022	2022	1	February	2	8	Wednesday
17 February 2022	2022	1	February	2	8	Thursday
18 February 2022	2022	1	February	2	8	Friday
19 February 2022	2022	1	February	2	8	Saturday
20 February 2022	2022	1	February	2	8	Sunday
21 February 2022	2022	1	February	2	9	Monday
22 February 2022	2022	1	February	2	9	Tuesday
23 February 2022	2022	1	February	2	9	Wednesday
24 February 2022	2022	1	February	2	9	Thursday
25 February 2022	2022	1	February	2	9	Friday
26 February 2022	2022	1	February	2	9	Saturday
27 February 2022	2022	1	February	2	9	Sunday
28 February 2022	2022	1	February	2	10	Monday
01 March 2022	2022	1	March	3	10	Tuesday
02 March 2022	2022	1	March	3	10	Wednesday
03 March 2022	2022	1	March	3	10	Thursday
04 March 2022	2022	1	March	3	10	Friday
05 March 2022	2022	1	March	3	10	Saturday
06 March 2022	2022	1	March	3	10	Sunday
07 March 2022	2022	1	March	3	11	Monday
08 March 2022	2022	1	March	3	11	Tuesday
09 March 2022	2022	1	March	3	11	Wednesday
10 March 2022	2022	1	March	3	11	Thursday
11 March 2022	2022	1	March	3	11	Friday
12 March 2022	2022	1	March	3	11	Saturday
13 March 2022	2022	1	March	3	11	Sunday
14 March 2022	2022	1	March	3	12	Monday
15 March 2022	2022	1	March	3	12	Tuesday
16 March 2022	2022	1	March	3	12	Wednesday
17 March 2022	2022	1	March	3	12	Thursday
18 March 2022	2022	1	March	3	12	Friday
19 March 2022	2022	1	March	3	12	Saturday
20 March 2022	2022	1	March	3	12	Sunday
21 March 2022	2022	1	March	3	13	Monday
22 March 2022	2022	1	March	3	13	Tuesday
23 March 2022	2022	1	March	3	13	Wednesday
24 March 2022	2022	1	March	3	13	Thursday
25 March 2022	2022	1	March	3	13	Friday
26 March 2022	2022	1	March	3	13	Saturday
27 March 2022	2022	1	March	3	13	Sunday
28 March 2022	2022	1	March	3	14	Monday
29 March 2022	2022	1	March	3	14	Tuesday
30 March 2022	2022	1	March	3	14	Wednesday
31 March 2022	2022	1	March	3	14	Thursday
01 April 2022	2022	2	April	4	14	Friday
02 April 2022	2022	2	April	4	14	Saturday
03 April 2022	2022	2	April	4	14	Sunday
04 April 2022	2022	2	April	4	15	Monday
05 April 2022	2022	2	April	4	15	Tuesday
06 April 2022	2022	2	April	4	15	Wednesday
07 April 2022	2022	2	April	4	15	Thursday
08 April 2022	2022	2	April	4	15	Friday
09 April 2022	2022	2	April	4	15	Saturday
10 April 2022	2022	2	April	4	15	Sunday
11 April 2022	2022	2	April	4	16	Monday
12 April 2022	2022	2	April	4	16	Tuesday
13 April 2022	2022	2	April	4	16	Wednesday
14 April 2022	2022	2	April	4	16	Thursday
15 April 2022	2022	2	April	4	16	Friday
16 April 2022	2022	2	April	4	16	Saturday
17 April 2022	2022	2	April	4	16	Sunday
18 April 2022	2022	2	April	4	17	Monday
19 April 2022	2022	2	April	4	17	Tuesday
20 April 2022	2022	2	April	4	17	Wednesday
21 April 2022	2022	2	April	4	17	Thursday
22 April 2022	2022	2	April	4	17	Friday
23 April 2022	2022	2	April	4	17	Saturday
24 April 2022	2022	2	April	4	17	Sunday
25 April 2022	2022	2	April	4	18	Monday
26 April 2022	2022	2	April	4	18	Tuesday
27 April 2022	2022	2	April	4	18	Wednesday
28 April 2022	2022	2	April	4	18	Thursday
29 April 2022	2022	2	April	4	18	Friday
30 April 2022	2022	2	April	4	18	Saturday
01 May 2022	2022	2	May	5	18	Sunday
02 May 2022	2022	2	May	5	19	Monday
03 May 2022	2022	2	May	5	19	Tuesday
04 May 2022	2022	2	May	5	19	Wednesday
05 May 2022	2022	2	May	5	19	Thursday
06 May 2022	2022	2	May	5	19	Friday
07 May 2022	2022	2	May	5	19	Saturday
08 May 2022	2022	2	May	5	19	Sunday
09 May 2022	2022	2	May	5	20	Monday
10 May 2022	2022	2	May	5	20	Tuesday
11 May 2022	2022	2	May	5	20	Wednesday
12 May 2022	2022	2	May	5	20	Thursday
13 May 2022	2022	2	May	5	20	Friday
14 May 2022	2022	2	May	5	20	Saturday
15 May 2022	2022	2	May	5	20	Sunday
16 May 2022	2022	2	May	5	21	Monday
17 May 2022	2022	2	May	5	21	Tuesday
18 May 2022	2022	2	May	5	21	Wednesday
19 May 2022	2022	2	May	5	21	Thursday
20 May 2022	2022	2	May	5	21	Friday
21 May 2022	2022	2	May	5	21	Saturday
22 May 2022	2022	2	May	5	21	Sunday
23 May 2022	2022	2	May	5	22	Monday
24 May 2022	2022	2	May	5	22	Tuesday
25 May 2022	2022	2	May	5	22	Wednesday
26 May 2022	2022	2	May	5	22	Thursday
27 May 2022	2022	2	May	5	22	Friday
28 May 2022	2022	2	May	5	22	Saturday
29 May 2022	2022	2	May	5	22	Sunday
30 May 2022	2022	2	May	5	23	Monday
31 May 2022	2022	2	May	5	23	Tuesday
01 June 2022	2022	2	June	6	23	Wednesday
02 June 2022	2022	2	June	6	23	Thursday
03 June 2022	2022	2	June	6	23	Friday
04 June 2022	2022	2	June	6	23	Saturday
05 June 2022	2022	2	June	6	23	Sunday
06 June 2022	2022	2	June	6	24	Monday
07 June 2022	2022	2	June	6	24	Tuesday
08 June 2022	2022	2	June	6	24	Wednesday
09 June 2022	2022	2	June	6	24	Thursday
10 June 2022	2022	2	June	6	24	Friday
11 June 2022	2022	2	June	6	24	Saturday
12 June 2022	2022	2	June	6	24	Sunday
13 June 2022	2022	2	June	6	25	Monday
14 June 2022	2022	2	June	6	25	Tuesday
15 June 2022	2022	2	June	6	25	Wednesday
16 June 2022	2022	2	June	6	25	Thursday
17 June 2022	2022	2	June	6	25	Friday
18 June 2022	2022	2	June	6	25	Saturday
19 June 2022	2022	2	June	6	25	Sunday
20 June 2022	2022	2	June	6	26	Monday
21 June 2022	2022	2	June	6	26	Tuesday
22 June 2022	2022	2	June	6	26	Wednesday
23 June 2022	2022	2	June	6	26	Thursday
24 June 2022	2022	2	June	6	26	Friday
25 June 2022	2022	2	June	6	26	Saturday
26 June 2022	2022	2	June	6	26	Sunday
27 June 2022	2022	2	June	6	27	Monday
28 June 2022	2022	2	June	6	27	Tuesday
29 June 2022	2022	2	June	6	27	Wednesday
30 June 2022	2022	2	June	6	27	Thursday
01 July 2022	2022	3	July	7	27	Friday
02 July 2022	2022	3	July	7	27	Saturday
03 July 2022	2022	3	July	7	27	Sunday
04 July 2022	2022	3	July	7	28	Monday
05 July 2022	2022	3	July	7	28	Tuesday
06 July 2022	2022	3	July	7	28	Wednesday
07 July 2022	2022	3	July	7	28	Thursday
08 July 2022	2022	3	July	7	28	Friday
09 July 2022	2022	3	July	7	28	Saturday
10 July 2022	2022	3	July	7	28	Sunday
11 July 2022	2022	3	July	7	29	Monday
12 July 2022	2022	3	July	7	29	Tuesday
13 July 2022	2022	3	July	7	29	Wednesday
14 July 2022	2022	3	July	7	29	Thursday
15 July 2022	2022	3	July	7	29	Friday
16 July 2022	2022	3	July	7	29	Saturday
17 July 2022	2022	3	July	7	29	Sunday
18 July 2022	2022	3	July	7	30	Monday
19 July 2022	2022	3	July	7	30	Tuesday
20 July 2022	2022	3	July	7	30	Wednesday
21 July 2022	2022	3	July	7	30	Thursday
22 July 2022	2022	3	July	7	30	Friday
23 July 2022	2022	3	July	7	30	Saturday
24 July 2022	2022	3	July	7	30	Sunday
25 July 2022	2022	3	July	7	31	Monday
26 July 2022	2022	3	July	7	31	Tuesday
27 July 2022	2022	3	July	7	31	Wednesday
28 July 2022	2022	3	July	7	31	Thursday
29 July 2022	2022	3	July	7	31	Friday
30 July 2022	2022	3	July	7	31	Saturday
31 July 2022	2022	3	July	7	31	Sunday
01 August 2022	2022	3	August	8	32	Monday
02 August 2022	2022	3	August	8	32	Tuesday
03 August 2022	2022	3	August	8	32	Wednesday
04 August 2022	2022	3	August	8	32	Thursday
05 August 2022	2022	3	August	8	32	Friday
06 August 2022	2022	3	August	8	32	Saturday
07 August 2022	2022	3	August	8	32	Sunday
08 August 2022	2022	3	August	8	33	Monday
09 August 2022	2022	3	August	8	33	Tuesday
10 August 2022	2022	3	August	8	33	Wednesday
11 August 2022	2022	3	August	8	33	Thursday
12 August 2022	2022	3	August	8	33	Friday
13 August 2022	2022	3	August	8	33	Saturday
14 August 2022	2022	3	August	8	33	Sunday
15 August 2022	2022	3	August	8	34	Monday
16 August 2022	2022	3	August	8	34	Tuesday
17 August 2022	2022	3	August	8	34	Wednesday
18 August 2022	2022	3	August	8	34	Thursday
19 August 2022	2022	3	August	8	34	Friday
20 August 2022	2022	3	August	8	34	Saturday
21 August 2022	2022	3	August	8	34	Sunday
22 August 2022	2022	3	August	8	35	Monday
23 August 2022	2022	3	August	8	35	Tuesday
24 August 2022	2022	3	August	8	35	Wednesday
25 August 2022	2022	3	August	8	35	Thursday
26 August 2022	2022	3	August	8	35	Friday
27 August 2022	2022	3	August	8	35	Saturday
28 August 2022	2022	3	August	8	35	Sunday
29 August 2022	2022	3	August	8	36	Monday
30 August 2022	2022	3	August	8	36	Tuesday
31 August 2022	2022	3	August	8	36	Wednesday
01 September 2022	2022	3	September	9	36	Thursday
02 September 2022	2022	3	September	9	36	Friday
03 September 2022	2022	3	September	9	36	Saturday
04 September 2022	2022	3	September	9	36	Sunday
05 September 2022	2022	3	September	9	37	Monday
06 September 2022	2022	3	September	9	37	Tuesday
07 September 2022	2022	3	September	9	37	Wednesday
08 September 2022	2022	3	September	9	37	Thursday
09 September 2022	2022	3	September	9	37	Friday
10 September 2022	2022	3	September	9	37	Saturday
11 September 2022	2022	3	September	9	37	Sunday
12 September 2022	2022	3	September	9	38	Monday
13 September 2022	2022	3	September	9	38	Tuesday
14 September 2022	2022	3	September	9	38	Wednesday
15 September 2022	2022	3	September	9	38	Thursday
16 September 2022	2022	3	September	9	38	Friday
17 September 2022	2022	3	September	9	38	Saturday
18 September 2022	2022	3	September	9	38	Sunday
19 September 2022	2022	3	September	9	39	Monday
20 September 2022	2022	3	September	9	39	Tuesday
21 September 2022	2022	3	September	9	39	Wednesday
22 September 2022	2022	3	September	9	39	Thursday
23 September 2022	2022	3	September	9	39	Friday
24 September 2022	2022	3	September	9	39	Saturday
25 September 2022	2022	3	September	9	39	Sunday
26 September 2022	2022	3	September	9	40	Monday
27 September 2022	2022	3	September	9	40	Tuesday
28 September 2022	2022	3	September	9	40	Wednesday
29 September 2022	2022	3	September	9	40	Thursday
30 September 2022	2022	3	September	9	40	Friday
01 October 2022	2022	4	October	10	40	Saturday
02 October 2022	2022	4	October	10	40	Sunday
03 October 2022	2022	4	October	10	41	Monday
04 October 2022	2022	4	October	10	41	Tuesday
05 October 2022	2022	4	October	10	41	Wednesday
06 October 2022	2022	4	October	10	41	Thursday
07 October 2022	2022	4	October	10	41	Friday
08 October 2022	2022	4	October	10	41	Saturday
09 October 2022	2022	4	October	10	41	Sunday
10 October 2022	2022	4	October	10	42	Monday
11 October 2022	2022	4	October	10	42	Tuesday
