sale_id	sale_date_id	location_id	product_id	unit_price_usd	discount_pct	units_sold	discounted_price_usd	revenue_usd	fx_rate_id	revenue_local_currency	sale_metadata_id	customer_rating	costumer_id	return_status_id
APPL-00011454	16 September 2022	518	1178	853.95	0	4	853.95	3415.8	38	83687100	17		30	2
APPL-00011253	16 December 2022	509	1177	867.26	3	2	841.24	1682.48	37	1682.48	22		66	1
APPL-00011206	11 April 2023	503	1176	670.07	0	1	670.07	670.07	37	670.07	38	4.8	71	1
APPL-00010969	04 November 2022	482	1175	962.35	0	1	962.35	962.35	36	760.26	23		72	1
APPL-00010159	21 August 2024	448	1174	1007.01	7	1	936.52	936.52	33	32965.5	17		131	1
APPL-00010742	08 February 2022	470	1174	975.88	3	1	946.6	946.6	35	3474.02	40	3.1	95	1
APPL-00010063	09 August 2022	446	1173	1046.8	7	2	973.52	1947.04	33	68535.81	15	3.9	85	3
APPL-00011476	18 April 2022	519	1173	1020.62	0	1	1020.62	1020.62	38	25005190	20	4.7	41	1
APPL-00009695	18 November 2024	431	1172	967.61	3	2	938.58	1877.16	31	1651.9	8	4.7	71	1
APPL-00009885	27 September 2023	439	1171	925.52	0	3	925.52	2776.56	32	88294.61	18		124	1
APPL-00009582	18 June 2024	426	1171	972.73	15	1	826.82	826.82	31	727.6	29	4.7	125	2
APPL-00010712	25 March 2022	469	1170	985.28	10	1	886.75	886.75	35	3254.37	18		52	1
APPL-00009492	16 October 2023	423	1170	937.99	5	1	891.09	891.09	30	9401	39	3.2	69	1
APPL-00010878	27 March 2024	476	1170	950.82	0	3	950.82	2852.46	36	2253.44	1		98	1
APPL-00009426	18 June 2024	420	1169	860.67	7	1	800.42	800.42	30	8444.43	27	3.7	88	1
APPL-00009424	02 April 2024	420	1168	782.46	0	1	782.46	782.46	30	8254.95	24	4.4	46	1
APPL-00010460	03 July 2023	459	1168	752.44	7	2	699.77	1399.54	34	42685.97	7	3.1	95	1
APPL-00011135	20 May 2023	496	1167	749.36	0	2	749.36	1498.72	37	1498.72	26	3.7	43	1
APPL-00009330	20 July 2022	417	1167	797.8	5	4	757.91	3031.64	30	31983.8	12	4.3	134	1
APPL-00010353	25 June 2023	455	1166	851.9	0	2	851.9	1703.8	34	51965.9	14		36	1
APPL-00009318	25 January 2024	416	1166	930.67	2	1	912.06	912.06	30	9622.23	42	3.2	97	3
APPL-00008884	12 February 2023	394	1165	825.14	0	5	825.14	4125.7	29	5478929.6	2	3.9	93	2
APPL-00008668	29 August 2023	386	1164	451.43	0	2	451.43	902.86	28	17064.05	33	4.8	122	1
APPL-00008636	01 July 2023	385	1163	953.84	0	3	953.84	2861.52	28	54082.73	36		36	1
APPL-00010261	10 December 2024	451	1162	1027.25	7	1	955.34	955.34	33	33627.97	21	3.1	78	1
APPL-00011333	26 November 2023	513	1162	1151.22	7	2	1070.63	2141.26	38	52460870	24	3.9	23	1
APPL-00008573	09 December 2024	382	1162	1110.26	5	3	1054.75	3164.25	27	4240.1	13	4.8	43	1
APPL-00008564	29 October 2024	382	1161	876.16	0	2	876.16	1752.32	27	2348.11	21		87	1
APPL-00008261	17 July 2024	378	1160	1140	5	3	1083	3249	26	12183.75	42	5	126	1
APPL-00008877	25 November 2024	393	1160	1185.59	0	3	1185.59	3556.77	29	4723390.56	10	4.5	20	2
APPL-00008233	28 October 2023	377	1159	764.67	0	1	764.67	764.67	26	2867.51	11	3.3	119	1
APPL-00010270	19 December 2022	452	1159	822.91	10	1	740.62	740.62	33	26069.82	19	3.7	40	1
APPL-00010077	03 March 2024	446	1159	793.56	7	1	738.01	738.01	33	25977.95	1	4.9	86	1
APPL-00011015	22 August 2022	485	1158	1021.73	3	1	991.08	991.08	36	782.95	22	3.3	96	1
APPL-00008153	16 August 2022	374	1158	1069.95	7	2	995.05	1990.1	26	7462.88	20	3.9	125	1
APPL-00008025	30 December 2024	368	1157	981.3	3	2	951.86	1903.72	25	174190.38	12	4.7	73	1
APPL-00011351	13 May 2023	514	1157	919.79	15	3	781.82	2345.46	38	57463770	13		137	1
APPL-00009470	11 November 2023	422	1156	861.01	15	2	731.86	1463.72	30	15442.25	14	3.6	51	1
APPL-00008053	23 October 2024	369	1156	934.24	0	1	934.24	934.24	25	85482.96	24	3.3	55	1
APPL-00007993	12 August 2024	367	1156	939.07	0	1	939.07	939.07	25	85924.9	6	3.1	14	1
APPL-00009195	13 June 2022	410	1156	847.52	7	7	788.19	5517.33	3	5075.94	31	4.3	128	1
APPL-00010837	30 January 2022	474	1155	707.97	0	1	707.97	707.97	36	559.3	39	3.1	122	1
APPL-00007846	01 October 2022	361	1155	652.13	2	4	639.09	2556.36	3	2351.85	6		95	1
APPL-00007818	23 October 2024	359	1154	1073.9	3	6	1041.68	6250.08	3	5750.07	37	3.8	112	1
APPL-00007767	13 November 2024	357	1153	866.83	5	2	823.49	1646.98	3	1515.22	30		108	1
APPL-00007737	20 November 2024	356	1152	833.69	5	4	792.01	3168.04	3	2914.6	26	4.2	82	1
APPL-00007636	22 January 2024	352	1152	834.28	10	2	750.85	1501.7	3	1381.56	30		69	1
APPL-00007413	17 October 2024	343	1151	1122.33	3	2	1088.66	2177.32	24	8643.96	41	4.2	140	1
APPL-00008743	31 January 2022	389	1151	1182.86	0	1	1182.86	1182.86	28	22356.05	6	4.5	45	1
APPL-00008892	31 July 2024	394	1150	1085.04	7	1	1009.09	1009.09	29	1340071.52	11		77	1
APPL-00010368	30 June 2022	456	1150	1074.62	0	2	1074.62	2149.24	34	65551.82	41		98	1
APPL-00007407	29 June 2024	343	1150	1175.47	0	2	1175.47	2350.94	24	9333.23	12	3.7	107	1
APPL-00011220	07 June 2024	504	1149	774.81	0	2	774.81	1549.62	37	1549.62	1	4.9	26	1
APPL-00010152	12 April 2024	448	1149	753.53	0	1	753.53	753.53	33	26524.26	28	3.1	67	1
APPL-00007367	30 April 2023	342	1149	859.43	0	8	859.43	6875.44	24	27295.5	15		41	1
APPL-00007301	06 June 2024	339	1148	873.39	7	1	812.25	812.25	23	45892.12	6	3.7	94	1
APPL-00010174	17 September 2023	449	1148	883.33	15	6	750.83	4504.98	33	158575.3	28	4.1	52	1
APPL-00010241	19 August 2022	451	1148	965.5	2	2	946.19	1892.38	33	66611.78	42	4.5	107	2
APPL-00007300	20 March 2024	339	1147	415.44	0	1	415.44	415.44	23	23472.36	24		80	1
APPL-00009360	06 April 2022	418	1147	421.82	10	1	379.64	379.64	30	4005.2	5	3.3	20	3
APPL-00010840	20 June 2022	474	1146	958.65	3	2	929.89	1859.78	36	1469.23	3	3.9	99	1
APPL-00007546	14 February 2024	348	1146	1057.37	0	3	1057.37	3172.11	24	12593.28	36		87	1
APPL-00007661	18 September 2024	353	1146	1037.92	2	3	1017.16	3051.48	3	2807.36	37	3.9	135	1
APPL-00007252	19 September 2024	337	1146	965.65	0	3	965.65	2896.95	23	163677.67	19	4.4	110	1
APPL-00009751	18 September 2022	434	1145	965.19	0	1	965.19	965.19	31	849.37	5	3.5	46	1
APPL-00007161	03 February 2023	334	1145	843.78	0	1	843.78	843.78	23	47673.57	12		128	1
APPL-00008985	07 March 2023	398	1145	930.25	0	1	930.25	930.25	29	1235372	23	3.8	94	1
APPL-00010780	14 October 2022	471	1145	950.54	0	5	950.54	4752.7	35	17442.41	41	3.8	70	1
APPL-00008562	26 October 2024	382	1144	633.6	0	3	633.6	1900.8	27	2547.07	7		74	1
APPL-00010638	25 May 2024	466	1144	559.78	5	2	531.79	1063.58	35	3903.34	24	4.5	29	1
APPL-00007108	20 January 2022	332	1144	625.47	10	2	562.92	1125.84	23	63609.96	16	3.2	72	1
APPL-00007091	02 October 2023	331	1143	431.84	10	4	388.66	1554.64	22	433744.56	4		45	1
APPL-00011121	10 July 2022	495	1142	602.83	3	1	584.75	584.75	37	584.75	8	3.3	85	1
APPL-00007071	17 August 2024	330	1142	560.91	3	1	544.08	544.08	22	151798.32	8	4.1	139	1
APPL-00006987	18 December 2023	327	1141	505.49	0	1	505.49	505.49	22	141031.71	37	3		1
APPL-00010084	01 September 2024	446	1141	483.89	2	1	474.21	474.21	33	16692.19	8	4.5		1
APPL-00006953	10 March 2022	326	1140	435.8	0	1	435.8	435.8	22	121588.2	28	4.9	40	1
APPL-00008186	05 February 2023	375	1140	434.11	0	1	434.11	434.11	26	1627.91	37	4.4	43	1
