"job_title","experience_level","total_positions"
"Analytics Engineer","EN","1"
"Analytics Engineer","EX","8"
"Analytics Engineer","MI","13"
"Analytics Engineer","SE","81"
"BI Analyst","EN","2"
"BI Analyst","MI","2"
"BI Analyst","SE","5"
"BI Data Analyst","EN","6"
"BI Data Analyst","EX","1"
"BI Data Analyst","MI","7"
"BI Data Analyst","SE","1"
"BI Developer","EN","2"
"BI Developer","SE","11"
"Business Data Analyst","EN","6"
"Business Data Analyst","MI","8"
"Business Data Analyst","SE","1"
"Business Intelligence Engineer","SE","4"
"Compliance Data Analyst","EN","1"
"Data Analyst","EN","63"
"Data Analyst","EX","2"
"Data Analyst","MI","167"
"Data Analyst","SE","380"
"Data Analytics Consultant","EN","1"
"Data Analytics Consultant","MI","1"
"Data Analytics Engineer","EN","2"
"Data Analytics Engineer","MI","2"
"Data Analytics Engineer","SE","2"
"Data Analytics Lead","MI","1"
"Data Analytics Lead","SE","1"
"Data Analytics Manager","EX","2"
"Data Analytics Manager","MI","8"
"Data Analytics Manager","SE","12"
"Data Analytics Specialist","SE","2"
"Data Operations Analyst","SE","4"
"Data Quality Analyst","EN","1"
"Data Quality Analyst","SE","6"
"Finance Data Analyst","SE","1"
"Financial Data Analyst","EN","1"
"Financial Data Analyst","MI","2"
"Insight Analyst","MI","2"
"Lead Data Analyst","MI","4"
"Lead Data Analyst","SE","1"
"Marketing Data Analyst","SE","2"
"Power BI Developer","EN","1"
"Principal Data Analyst","MI","1"
"Principal Data Analyst","SE","1"
"Product Data Analyst","EN","1"
"Product Data Analyst","MI","4"
"Staff Data Analyst","EX","1"
